"x","y","Width","Height","Score","Label"
"504","315","464","1046",0.27946,"canadaPencil"
"372","918","364","528",0.49137,"cloudSign"
"300","603","336","523",0.25821,"eyeball"
"712","64","492","672",0.29102,"metalKey"
"220","491","496","752",0.30408,"partyFavor"
"944","502","88","502",0.36301,"pinkCandle"
"300","454","512","1008",0.29267,"pumpkinNotes"
"440","166","408","688",0.26727,"redWhistle"
"636","70","356","1318",0.59109,"sign"
"736","523","468","907",0.27786,"trophy"
"752","299","452","416",0.27854,"blueSunglasses"
"304","560","336","598",0.28879,"stickerBox"
