"x","y","Width","Height","Score","Label"
"1867","1371","2558","1947",0.3775,"birdCall"
"2247","1636","1798","1832",0.25164,"canadaPencil"
"1919","450","1677","1291",0.35404,"cloudSign"
"2057","1222","2212","1740",0.3073,"cupcakePaper"
"18","81","4977","3387",0.39782,"paperPlate"
"2195","288","381","1118",0.30016,"pinkCandle"
"2299","1083","2385","2005",0.31079,"pumpkinNotes"
"1953","565","934","2512",0.29914,"sign"
"1072","2040","1919","1095",0.46407,"blueSunglasses"
"2592","1256","1815","2178",0.53108,"stickerBox"
