"x","y","Width","Height","Score","Label"
"511","1573","1613","1462",0.38416,"birdCall"
"982","2117","1183","918",0.56042,"cloudSign"
"2648","1563","726","565",0.41084,"eyeball"
"471","1704","1654","1331",0.34047,"metalKey"
"861","11","283","898",0.32559,"pinkCandle"
"1707","625","2070","1936",0.28615,"pumpkinNotes"
"108","958","646","2077",0.39208,"sign"
"2164","1603","1103","444",0.27095,"blueSunglasses"
"820","545","323","394",0.34088,"lavenderDie"
"2205","1129","1062","1432",0.38155,"stickerBox"
