"x","y","Width","Height","Score","Label"
"785","803","2025","1764",0.52858,"birdCall"
"1241","1058","3430","1703",0.39605,"canadaPencil"
"1186","1119","1077","1630",0.38254,"cloudSign"
"1970","1338","1131","706",0.44014,"eyeball"
"1332","1119","2408","1666",0.59432,"metalKey"
"1788","1180","712","1581",0.31214,"pinkCandle"
"493","730","2591","2457",0.28123,"pumpkinNotes"
"894","645","894","3016",0.30931,"sign"
"1569","1472","1970","937",0.39182,"blueSunglasses"
"566","1095","1642","1776",0.50966,"hairClip"
