"x","y","Width","Height","Score","Label"
"146","73","2481","2177",0.59467,"birdCall"
"2846","864","1752","1618",0.43856,"cloudSign"
"19","888","2062","2128",0.3113,"cupcakePaper"
"3904","584","1150","633",0.43442,"eyeball"
"1350","304","2390","1216",0.33852,"metalKey"
"912","13","2445","1922",0.30553,"partyFavor"
"3484","1168","456","1046",0.29151,"pinkCandle"
"19","353","2353","2639",0.42026,"pumpkinNotes"
"493","13","1733","3369",0.37244,"sign"
"19","815","2135","2299",0.2531,"trophy"
"128","560","2499","1204",0.43905,"blueSunglasses"
"19","657","1897","1581",0.25066,"hairClip"
"2846","815","1715","1764",0.26967,"stickerBox"
