"x","y","Width","Height","Score","Label"
"1205","1574","1807","1295",0.51354,"birdCall"
"2072","409","1559","1485",0.42475,"cloudSign"
"1966","668","1753","628",0.6319,"eyeball"
"1116","180","443","1156",0.52557,"pinkCandle"
"1364","1365","2196","1634",0.31533,"pumpkinNotes"
"1328","1913","2249","1066",0.56436,"redWhistle"
"1063","10","1311","2371",0.272,"sign"
"1860","568","1931","1216",0.25835,"trophy"
"1116","2202","1948","499",0.44223,"blueSunglasses"
"2090","379","1541","1196",0.46882,"hairClip"
"1877","1973","1222","987",0.36566,"stickerBox"
