"x","y","Width","Height","Score","Label"
"1062","817","995","1129",0.443,"cloudSign"
"2568","1150","820","525",0.58974,"eyeball"
"1358","767","1573","1271",0.48952,"metalKey"
"1371","817","404","1180",0.26295,"pinkCandle"
"807","857","1519","1069",0.32901,"redWhistle"
"2285","1452","914","303",0.28245,"blueSunglasses"
"1076","736","1008","1361",0.47519,"hairClip"
"2487","1301","457","575",0.55333,"lavenderDie"
"1344","1069","471","706",0.44056,"stickerBox"
"2070","1029","1976","2006",0.34635,"yellowBag"
