filename,width,height,class,xmin,ymin,xmax,ymax
aug_glassBead_4.jpg,600,400,glassBead,182.98611,245.02316,260.06943,304.2824
aug_glassBead_4.jpg,600,400,glassBead,203.00926,179.74538,282.29166,246.99075
aug_glassBead_4.jpg,600,400,glassBead,231.71297,148.03241,305.9028,202.77777
aug_glassBead_5.jpg,600,400,glassBead,174.30556,191.43518,250.0,261.9213
aug_glassBead_5.jpg,600,400,glassBead,281.13425,148.61111,355.55557,214.93056
aug_glassBead_5.jpg,600,400,glassBead,353.24075,169.21297,426.9676,240.625
aug_glassBead_1.jpg,600,400,glassBead,175.69444,162.03703,259.60648,231.94444
aug_glassBead_1.jpg,600,400,glassBead,210.76389,223.03241,300.5787,299.53705
aug_glassBead_1.jpg,600,400,glassBead,313.31018,181.71297,401.85184,254.16667
aug_glassBead_2.jpg,600,400,glassBead,307.4074,101.388885,384.02777,176.62038
aug_glassBead_2.jpg,600,400,glassBead,253.24075,138.19444,329.8611,213.42592
aug_glassBead_2.jpg,600,400,glassBead,325.34723,169.79166,401.96762,245.02316
aug_glassBead_3.jpg,600,400,glassBead,186.80556,133.10185,258.2176,211.6898
aug_glassBead_3.jpg,600,400,glassBead,252.66203,146.875,324.18982,222.33797
aug_glassBead_3.jpg,600,400,glassBead,314.12036,159.60648,392.70834,240.16203
