"x","y","Width","Height","Score","Label"
"2366","384","1318","1573",0.27756,"birdCall"
"2124","152","1224","1160",0.48792,"cloudSign"
"2621","202","740","736",0.32779,"eyeball"
"1586","595","1721","1603",0.38317,"metalKey"
"874","11","3119","2500",0.2528,"noisemaker"
"1788","11","1882","1150",0.4306,"partyFavor"
"1896","918","498","1432",0.53595,"pinkCandle"
"1627","424","1076","2329",0.5953,"sign"
"538","1220","2124","1815",0.28462,"trophy"
"1089","1946","1022","1089",0.665,"hairClip"
"1358","2168","471","595",0.69549,"lavenderDie"
"1882","1099","2164","1896",0.39214,"yellowBag"
