"x","y","Width","Height","Score","Label"
"605","1069","1963","1946",0.31567,"birdCall"
"2527","444","1519","1835",0.30957,"canadaPencil"
"861","384","1412","1563",0.29563,"cloudSign"
"820","11","2137","1764",0.40064,"cupcakePaper"
"1412","1059","914","686",0.52447,"eyeball"
"14","11","3508","3024",0.35042,"paperPlate"
"753","978","2232","2057",0.49654,"pumpkinNotes"
"1170","1059","1412","686",0.41978,"blueSunglasses"
"1600","11","1654","1472",0.41463,"stickerBox"
"874","11","1990","1835",0.26437,"yellowBag"
