"x","y","Width","Height","Score","Label"
"1170","1533","1963","1452",0.43567,"birdCall"
"41","484","1909","2178",0.28784,"canadaPencil"
"1963","807","1533","1583",0.5203,"cloudSign"
"2796","2218","1008","545",0.27786,"eyeball"
"1869","918","1721","1392",0.53053,"metalKey"
"2541","434","377","1079",0.42183,"pinkCandle"
"2326","1281","1721","1754",0.5415,"pumpkinNotes"
"2164","11","1129","2127",0.56459,"sign"
"2715","1462","1331","1573",0.26474,"trophy"
"1035","1371","1680","928",0.37685,"blueSunglasses"
"2420","11","1197","877",0.31109,"hairClip"
"2688","1603","1237","1432",0.46249,"stickerBox"
