"x","y","Width","Height","Score","Label"
"3120","1454","1960","1894",0.26086,"birdCall"
"3320","1414","1460","1374",0.434,"cloudSign"
"3380","1480","1360","1280",0.2543,"cupcakePaper"
"2800","334","1720","1334",0.42019,"eyeball"
"3140","1560","1860","1734",0.27838,"metalKey"
"3760","1614","580","1067",0.37824,"pinkCandle"
"3140","1800","1860","680",0.43238,"blueSunglasses"
"3140","1360","1840","1640",0.70873,"hairClip"
"740","1600","580","520",0.4872,"lavenderDie"
"20","1240","4120","2774",0.30073,"yellowBag"
