"x","y","Width","Height","Score","Label"
"1371","696","1586","1815",0.33532,"birdCall"
"1640","1190","995","837",0.38359,"cloudSign"
"2258","242","968","1029",0.26419,"eyeball"
"2164","414","538","1129",0.44914,"pinkCandle"
"1277","837","1734","1089",0.27437,"pumpkinNotes"
"1412","1059","1452","1079",0.27396,"redWhistle"
"1062","11","1076","2188",0.28682,"sign"
"1371","515","1546","1785",0.32177,"trophy"
"1775","1412","793","394",0.31945,"blueSunglasses"
"1546","948","1210","1351",0.28606,"hairClip"
"14","11","1896","2037",0.31583,"yellowBag"
