Image,object
Person12_1,yellowBag
Person12_1,cactusPaper
Person12_2,yellowBag
Person12_2,cactusPaper
Person12_3,cactusPaper
Person12_4,pumpkinNotes
Person12_5,pumpkinNotes
Person12_5,hairClip
Person12_5,legoBracelet
Person12_5,cactusPaper
Person12_5,noisemaker
Person12_5,yellowBag
Person12_6,hairClip
Person12_7,hairClip
Person12_7,cactusPaper
Person12_7,noisemaker
Person12_8,hairClip
Person12_8,noisemaker
Person12_8,legoBracelet
Person12_8,cactusPaper
Person12_8,pumpkinNotes
Person12_9,noisemaker
Person12_10,noisemaker
Person12_11,noisemaker
Person12_11,legoBracelet
Person12_12,legoBracelet
Person12_12,hairClip
Person12_12,yellowBag
Person12_13,legoBracelet
Person12_13,hairClip
Person12_13,yellowBag
Person12_14,none
Person12_15,pumpkinNotes
