Image,object
Person37_1,noisemaker
Person37_2,gyroscope
Person37_3,gyroscope
Person37_4,paperPlate
Person37_5,cloudSign
Person37_6,redDart
Person37_7,partyFavor
Person37_8,hairRoller
Person37_9,noisemaker
Person37_9,hairRoller
Person37_9,gyroscope
Person37_9,redDart
Person37_9,partyFavor
Person37_9,paperPlate
Person37_9,cloudSign
Person37_10,cloudSign
Person37_10,paperPlate
Person37_11,noisemaker
Person37_11,partyFavor
Person37_12,gyroscope
Person37_13,redDart
Person37_13,hairRoller
Person37_13,paperPlate
Person37_13,cloudSign
Person37_14,gyroscope
Person37_14,redDart
Person37_14,hairRoller
Person37_14,paperPlate
Person37_14,cloudSign
Person37_15,gyroscope
Person37_15,redDart
Person37_15,hairRoller
Person37_15,paperPlate
Person37_15,cloudSign
Person37_16,cloudSign
Person37_16,paperPlate
Person37_16,noisemaker
Person37_17,noisemaker
Person37_18,gyroscope
Person37_19,cloudSign
Person37_20,paperPlate
Person37_20,hairRoller
Person37_21,redDart
Person37_22,cloudSign
Person37_22,noisemaker
Person37_23,partyFavor
Person37_23,gyroscope
Person37_24,redDart
Person37_24,hairRoller
