Image,object
Person2_1,yellowBalloon
Person2_1,noisemaker
Person2_2,metalKey
Person2_3,blueSunglasses
Person2_3,brownDie
Person2_4,noisemaker
Person2_5,metalKey
Person2_5,spiderRing
Person2_5,brownDie
Person2_5,lavenderDie
Person2_6,metalKey
Person2_6,lavenderDie
Person2_6,yellowBalloon
Person2_6,blueSunglasses
Person2_6,brownDie
Person2_7,blueSunglasses
Person2_7,spiderRing
Person2_8,brownDie
Person2_8,lavenderDie
Person2_8,metalKey
Person2_8,spiderRing
Person2_8,blueSunglasses
Person2_9,lavenderDie
Person2_10,spiderRing
Person2_10,metalKey
Person2_10,blueSunglasses
Person2_11,brownDie
Person2_11,lavenderDie
Person2_11,blueSunglasses
Person2_11,noisemaker
Person2_12,noisemaker
Person2_12,blueSunglasses
Person2_12,brownDie
Person2_12,spiderRing
Person2_12,metalKey
Person2_12,yellowBalloon
Person2_13,yellowBalloon
Person2_13,noisemaker
Person2_14,spiderRing
Person2_14,blueSunglasses
Person2_15,blueSunglasses
Person2_15,noisemaker
Person2_15,brownDie
Person2_15,metalKey
Person2_15,spiderRing
