Image,object
Person24_1,miniCards
Person24_2,miniCards
Person24_3,miniCards
Person24_3,gClamp
Person24_4,miniCards
Person24_4,gClamp
Person24_4,spiderRing
Person24_5,spiderRing
Person24_5,legoBracelet
Person24_6,gClamp
Person24_7,legoBracelet
Person24_7,miniCards
Person24_7,spiderRing
Person24_8,silverStraw
Person24_9,silverStraw
Person24_10,gClamp
Person24_10,silverStraw
Person24_10,legoBracelet
Person24_10,miniCards
Person24_11,gClamp
Person24_11,silverStraw
Person24_11,legoBracelet
Person24_11,miniCards
Person24_12,gClamp
Person24_12,silverStraw
Person24_12,legoBracelet
Person24_12,miniCards
Person24_12,plaidPencil
Person24_13,gClamp
Person24_13,silverStraw
Person24_13,legoBracelet
Person24_13,miniCards
Person24_13,plaidPencil
Person24_14,voiceRecorder
