Image,object
Person38_1,rainbowPens
Person38_2,rainbowPens
Person38_3,yellowBag
Person38_4,rainbowPens
Person38_4,yellowBag
Person38_5,redWhistle
Person38_6,redWhistle
Person38_7,redWhistle
Person38_7,yellowBag
Person38_7,rainbowPens
Person38_8,cowbell
Person38_9,cowbell
Person38_10,rubiksCube
Person38_11,rubiksCube
Person38_12,rubiksCube
Person38_13,redDart
Person38_14,redDart
Person38_15,rainbowPens
Person38_15,redWhistle
Person38_15,cowbell
Person38_15,redDart
Person38_16,redDart
Person38_16,cowbell
Person38_16,redWhistle
Person38_16,rainbowPens
Person38_16,rubiksCube
Person38_16,yellowBag
