Image,object
Person19_1,eyeball
Person19_2,eyeball
Person19_3,pinkEraser
Person19_3,gClamp
Person19_4,pinkEraser
Person19_4,gClamp
Person19_4,glassBead
Person19_5,pinkEraser
Person19_5,gClamp
Person19_5,glassBead
Person19_6,hairRoller
Person19_6,gClamp
Person19_7,hairRoller
Person19_7,gClamp
Person19_7,glassBead
Person19_7,pinkEraser
Person19_7,paperPlate
Person19_7,gyroscope
Person19_8,hairRoller
Person19_8,gClamp
Person19_8,glassBead
Person19_8,pinkEraser
Person19_8,paperPlate
Person19_8,gyroscope
