Image,object
Person34_1,none
Person34_2,rubiksCube
Person34_2,turtle
Person34_2,partyFavor
Person34_2,spiderRing
Person34_2,redBow
Person34_2,legoBracelet
Person34_3,spiderRing
Person34_4,rubiksCube
Person34_5,spiderRing
Person34_5,turtle
Person34_6,none
Person34_7,turtle
Person34_8,rubiksCube
Person34_8,spiderRing
Person34_8,redBow
Person34_9,legoBracelet
Person34_10,turtle
Person34_10,partyFavor
Person34_10,spiderRing
Person34_10,rubiksCube
Person34_10,legoBracelet
Person34_11,redBow
Person34_11,legoBracelet
Person34_12,rubiksCube
Person34_13,partyFavor
Person34_14,partyFavor
Person34_15,none
Person34_16,rubiksCube
Person34_17,partyFavor
Person34_18,turtle
Person34_19,rubiksCube
Person34_19,vancouverCards
Person34_20,none
Person34_21,rubiksCube
Person34_21,legoBracelet
Person34_21,partyFavor
Person34_22,redBow
Person34_22,turtle
Person34_23,redBow
Person34_23,turtle
Person34_23,rubiksCube
Person34_24,legoBracelet
Person34_24,rubiksCube
Person34_25,redBow
Person34_25,turtle
Person34_26,turtle
Person34_27,legoBracelet
Person34_28,redBow
Person34_29,turtle
Person34_30,rubiksCube
Person34_31,rubiksCube
Person34_32,partyFavor
Person34_32,vancouverCards
Person34_33,partyFavor
Person34_33,redBow
Person34_33,rubiksCube
Person34_33,vancouverCards
Person34_33,legoBracelet
Person34_34,legoBracelet
Person34_34,rubiksCube
Person34_34,partyFavor
Person34_35,redBow
Person34_36,rubiksCube
Person34_37,none
Person34_38,partyFavor
Person34_39,partyFavor
Person34_39,rubiksCube
Person34_40,partyFavor
Person34_41,partyFavor
Person34_41,spiderRing
Person34_42,spiderRing
Person34_42,redBow
Person34_43,rubiksCube
Person34_43,turtle
Person34_44,turtle
Person34_45,spiderRing
Person34_46,spiderRing
Person34_47,turtle
Person34_48,turtle
Person34_48,spiderRing
Person34_49,turtle
Person34_49,spiderRing
Person34_49,redBow
Person34_50,legoBracelet
