Image,object
Person10_1,partyFavor
Person10_1,sign
Person10_1,lavenderDie
Person10_1,miniCards
Person10_1,plaidPencil
Person10_1,voiceRecorder
Person10_2,cactusPaper
Person10_3,cactusPaper
Person10_4,plaidPencil
Person10_5,plaidPencil
Person10_6,cactusPaper
Person10_7,lavenderDie
Person10_7,miniCards
Person10_8,lavenderDie
Person10_9,lavenderDie
Person10_10,lavenderDie
Person10_11,lavenderDie
Person10_12,cactusPaper
Person10_13,cactusPaper
Person10_14,plaidPencil
Person10_15,plaidPencil
Person10_16,plaidPencil
Person10_17,lavenderDie
Person10_18,partyFavor
Person10_18,miniCards
Person10_18,lavenderDie
Person10_18,plaidPencil
Person10_18,voiceRecorder
Person10_19,sign
Person10_19,lavenderDie
Person10_19,voiceRecorder
Person10_19,plaidPencil
Person10_19,partyFavor
Person10_19,miniCards
Person10_20,miniCards
Person10_20,partyFavor
Person10_21,plaidPencil
Person10_22,cactusPaper
Person10_23,miniCards
Person10_24,miniCards
Person10_25,plaidPencil
