Image,object
Person23_1,cupcakePaper
Person23_1,rainbowPens
Person23_1,gClamp
Person23_1,redWhistle
Person23_1,brownDie
Person23_1,pinkCandle
Person23_2,cupcakePaper
Person23_2,brownDie
Person23_2,gClamp
Person23_2,redWhistle
Person23_3,rainbowPens
Person23_4,rainbowPens
Person23_4,redWhistle
Person23_5,redWhistle
Person23_5,rainbowPens
Person23_6,none
Person23_7,gClamp
Person23_8,gClamp
Person23_9,gClamp
Person23_10,gClamp
Person23_11,gClamp
Person23_12,gClamp
Person23_13,gClamp
Person23_14,gClamp
Person23_15,gClamp
Person23_16,gClamp
Person23_17,gClamp
Person23_18,gClamp
Person23_19,gClamp
Person23_20,redWhistle
Person23_21,redWhistle
Person23_22,redWhistle
Person23_23,redWhistle
Person23_24,redWhistle
Person23_25,redWhistle
Person23_26,redWhistle
Person23_27,redWhistle
Person23_28,redWhistle
Person23_29,redWhistle
Person23_30,none
Person23_31,redWhistle
Person23_32,redWhistle
Person23_33,redWhistle
Person23_34,rainbowPens
Person23_35,rainbowPens
Person23_36,rainbowPens
Person23_37,rainbowPens
Person23_38,rainbowPens
Person23_39,rainbowPens
Person23_40,rainbowPens
Person23_41,rainbowPens
Person23_42,rainbowPens
Person23_43,rainbowPens
Person23_44,rainbowPens
Person23_45,rainbowPens
Person23_46,rainbowPens
Person23_47,brownDie
Person23_48,brownDie
Person23_49,brownDie
Person23_50,brownDie
Person23_51,brownDie
Person23_52,brownDie
Person23_53,brownDie
Person23_54,brownDie
Person23_55,brownDie
Person23_56,brownDie
Person23_57,brownDie
Person23_58,brownDie
Person23_59,brownDie
Person23_60,brownDie
Person23_61,brownDie
Person23_62,pinkCandle
Person23_63,pinkCandle
Person23_64,pinkCandle
Person23_65,pinkCandle
Person23_66,pinkCandle
Person23_67,pinkCandle
Person23_68,pinkCandle
Person23_69,pinkCandle
Person23_70,pinkCandle
Person23_71,pinkCandle
Person23_72,pinkCandle
Person23_73,cupcakePaper
Person23_74,cupcakePaper
Person23_75,cupcakePaper
Person23_76,cupcakePaper
Person23_77,cupcakePaper
Person23_78,cupcakePaper
Person23_79,cupcakePaper
Person23_80,cupcakePaper
Person23_81,cupcakePaper
Person23_82,cupcakePaper
Person23_83,cupcakePaper
