Image,object
Person5_1,eyeball
Person5_2,eyeball
Person5_2,sign
Person5_3,eyeball
Person5_3,sign
Person5_3,legoBracelet
Person5_4,eyeball
Person5_4,pinkEraser
Person5_4,legoBracelet
Person5_5,redWhistle
Person5_5,pinkEraser
Person5_5,legoBracelet
Person5_6,redWhistle
Person5_6,pinkEraser
Person5_6,legoBracelet
Person5_7,eyeball
Person5_7,sign
Person5_8,eyeball
Person5_8,pinkEraser
Person5_8,legoBracelet
Person5_9,none
Person5_10,none
Person5_11,none
Person5_12,redWhistle
Person5_13,redWhistle
Person5_13,legoBracelet
Person5_14,none
Person5_15,none
Person5_16,sign
Person5_17,sign
Person5_17,pinkEraser
Person5_18,eyeball
Person5_18,legoBracelet
Person5_19,yellowBalloon
Person5_20,none
Person5_21,pinkEraser
Person5_22,yellowBalloon
Person5_23,yellowBalloon
Person5_24,redWhistle
Person5_25,redWhistle
Person5_25,eyeball
Person5_26,pinkEraser
Person5_27,pinkEraser
Person5_28,eyeball
Person5_29,eyeball
Person5_29,sign
Person5_30,eyeball
Person5_30,sign
Person5_31,eyeball
Person5_32,yellowBalloon
Person5_33,yellowBalloon
Person5_34,none
Person5_35,eyeball
Person5_35,sign
Person5_35,pinkEraser
Person5_36,eyeball
Person5_37,eyeball
Person5_38,pinkEraser
Person5_38,redWhistle
Person5_39,pinkEraser
Person5_40,eyeball
Person5_41,eyeball
Person5_41,pinkEraser
Person5_41,legoBracelet
Person5_42,eyeball
Person5_42,pinkEraser
Person5_42,legoBracelet
Person5_42,redWhistle
Person5_43,eyeball
Person5_43,legoBracelet
