Image,object
Person14_1,cloudSign
Person14_2,cloudSign
Person14_3,gyroscope
Person14_4,gyroscope
Person14_5,gyroscope
Person14_6,miniCards
Person14_7,miniCards
Person14_8,canadaPencil
Person14_9,canadaPencil
Person14_9,pinkCandle
Person14_10,canadaPencil
Person14_10,pinkCandle
Person14_10,birdCall
Person14_11,pumpkinNotes
Person14_12,cloudSign
Person14_12,pumpkinNotes
Person14_13,pinkCandle
Person14_14,miniCards
Person14_14,birdCall
Person14_15,miniCards
Person14_15,birdCall
Person14_16,canadaPencil
Person14_16,birdCall
Person14_17,canadaPencil
Person14_17,cloudSign
Person14_18,gyroscope
Person14_19,birdCall
