Image,object
Person32_1,none
Person32_2,none
Person32_3,none
Person32_4,none
Person32_5,pumpkinNotes
Person32_6,plaidPencil
Person32_7,turtle
Person32_8,metalKey
Person32_9,miniCards
Person32_10,cloudSign
Person32_11,cloudSign
Person32_11,turtle
Person32_12,metalKey
Person32_12,miniCards
Person32_13,cloudSign
Person32_14,turtle
Person32_15,miniCards
Person32_16,plaidPencil
Person32_17,metalKey
Person32_18,pumpkinNotes
Person32_18,plaidPencil
Person32_18,turtle
Person32_19,miniCards
Person32_20,turtle
Person32_21,plaidPencil
Person32_22,metalKey
Person32_23,pumpkinNotes
Person32_24,cloudSign
Person32_25,cloudSign
Person32_26,miniCards
Person32_27,turtle
Person32_28,pumpkinNotes
Person32_29,cloudSign
Person32_30,plaidPencil
Person32_31,pumpkinNotes
Person32_32,none
Person32_33,metalKey
Person32_34,none
Person32_35,none
Person32_36,plaidPencil
Person32_37,pumpkinNotes
Person32_37,miniCards
Person32_38,turtle
Person32_39,metalKey
Person32_40,cloudSign
Person32_41,none
Person32_42,none
Person32_43,turtle
Person32_44,none
Person32_45,none
Person32_46,none
Person32_47,metalKey
Person32_48,metalKey
Person32_48,miniCards
Person32_49,yellowBag
Person32_50,pumpkinNotes
Person32_51,pumpkinNotes
Person32_52,miniCards
Person32_53,metalKey
Person32_54,miniCards
Person32_54,turtle
Person32_55,pumpkinNotes
Person32_55,plaidPencil
Person32_56,cloudSign
