Image,object
Person25_1,paperPlate
Person25_2,paperPlate
Person25_3,sign
Person25_3,paperPlate
Person25_4,sign
Person25_4,paperPlate
Person25_5,sign
Person25_5,paperPlate
Person25_6,sign
Person25_7,sign
Person25_8,sign
Person25_9,canadaPencil
Person25_10,canadaPencil
Person25_11,canadaPencil
Person25_12,miniCards
Person25_13,miniCards
Person25_14,miniCards
Person25_15,miniCards
Person25_16,miniCards
Person25_16,paperPlate
Person25_17,carabiner
Person25_18,carabiner
Person25_19,carabiner
Person25_20,partyFavor
Person25_21,partyFavor
Person25_22,partyFavor
Person25_22,paperPlate
Person25_23,partyFavor
Person25_23,brownDie
Person25_24,brownDie
Person25_25,brownDie
Person25_26,partyFavor
Person25_26,miniCards
