Image,object
Person9_1,stickerBox
Person9_2,metalKey
Person9_3,metalKey
Person9_3,hairRoller
Person9_4,hairRoller
Person9_4,pinkCandle
Person9_5,pinkCandle
Person9_6,blueSunglasses
Person9_7,blueSunglasses
Person9_8,blueSunglasses
Person9_8,hairRoller
Person9_9,blueSunglasses
Person9_10,blueSunglasses
Person9_11,pinkCandle
Person9_12,blueSunglasses
Person9_13,pinkEraser
Person9_14,pinkEraser
Person9_15,blueSunglasses
Person9_16,blueSunglasses
Person9_17,hairRoller
Person9_18,hairRoller
Person9_19,hairRoller
Person9_20,blueSunglasses
Person9_20,hairRoller
Person9_21,cactusPaper
Person9_22,cactusPaper
Person9_23,cactusPaper
Person9_24,cactusPaper
Person9_25,blueSunglasses
Person9_26,metalKey
