Image,object
Person3_1,glassBead
Person3_1,yellowBalloon
Person3_2,glassBead
Person3_2,yellowBalloon
Person3_3,glassBead
Person3_4,glassBead
Person3_5,glassBead
Person3_6,cowbell
Person3_7,rainbowPens
Person3_7,pumpkinNotes
Person3_8,rainbowPens
Person3_8,pumpkinNotes
Person3_9,rainbowPens
Person3_9,pumpkinNotes
Person3_10,rainbowPens
Person3_11,glassBead
Person3_11,giftBag
Person3_11,rainbowPens
Person3_12,giftBag
Person3_13,yellowBalloon
Person3_13,glassBead
Person3_13,cowbell
Person3_14,pumpkinNotes
Person3_14,rainbowPens
Person3_14,yellowBalloon
Person3_15,rainbowPens
Person3_15,pumpkinNotes
Person3_16,pumpkinNotes
Person3_16,rainbowPens
Person3_17,yellowBalloon
Person3_18,yellowBalloon
Person3_19,yellowBalloon
Person3_20,yellowBalloon
Person3_21,yellowBalloon
Person3_22,rainbowPens
Person3_23,cowbell
Person3_23,rainbowPens
Person3_23,pumpkinNotes
Person3_24,rainbowPens
Person3_24,giftBag
Person3_25,none
