Image,object
Person20_1,partyFavor
Person20_2,partyFavor
Person20_3,hairClip
Person20_4,cloudSign
Person20_5,hairClip
Person20_6,noisemaker
Person20_7,noisemaker
Person20_8,noisemaker
Person20_8,cloudSign
Person20_9,redBow
Person20_10,redBow
Person20_11,gClamp
Person20_12,gClamp
Person20_13,metalKey
Person20_14,metalKey
Person20_15,metalKey
Person20_16,noisemaker
Person20_17,gClamp
Person20_18,redBow
Person20_18,partyFavor
Person20_19,redBow
Person20_20,metalKey
Person20_21,metalKey
Person20_22,eyeball
Person20_23,eyeball
Person20_24,cloudSign
Person20_24,hairClip
Person20_25,cloudSign
Person20_25,hairClip
Person20_26,gClamp
Person20_27,redBow
Person20_28,partyFavor
Person20_29,partyFavor
