Image,object
Person7_1,cactusPaper
Person7_1,canadaPencil
Person7_2,blueSunglasses
Person7_3,brownDie
Person7_4,trophy
Person7_5,blueSunglasses
Person7_6,brownDie
Person7_7,paperPlate
Person7_8,blueSunglasses
Person7_9,trophy
Person7_9,redWhistle
Person7_10,redWhistle
Person7_11,trophy
Person7_12,trophy
Person7_12,redWhistle
Person7_12,brownDie
Person7_12,blueSunglasses
Person7_12,canadaPencil
Person7_12,cactusPaper
Person7_12,paperPlate
Person7_13,trophy
Person7_14,trophy
Person7_14,canadaPencil
Person7_15,canadaPencil
Person7_16,brownDie
Person7_17,redWhistle
