Image,object
Person30_1,carabiner
Person30_1,silverStraw
Person30_1,rubiksCube
Person30_1,rainbowPens
Person30_1,giftBag
Person30_1,metalKey
Person30_2,rainbowPens
Person30_2,silverStraw
Person30_2,metalKey
Person30_3,rainbowPens
Person30_3,silverStraw
Person30_3,metalKey
Person30_4,rainbowPens
Person30_5,metalKey
Person30_6,carabiner
Person30_6,silverStraw
Person30_6,rubiksCube
Person30_6,rainbowPens
Person30_6,giftBag
Person30_6,metalKey
Person30_7,rainbowPens
Person30_7,silverStraw
Person30_7,metalKey
Person30_8,rainbowPens
Person30_8,silverStraw
Person30_8,metalKey
Person30_9,rainbowPens
Person30_10,metalKey
Person30_11,carabiner
Person30_11,rainbowPens
Person30_11,rubiksCube
Person30_11,eyeball
Person30_11,metalKey
Person30_11,silverStraw
Person30_12,carabiner
Person30_12,rainbowPens
Person30_12,rubiksCube
Person30_12,eyeball
Person30_12,metalKey
Person30_12,silverStraw
Person30_13,rainbowPens
Person30_13,rubiksCube
Person30_13,eyeball
Person30_13,giftBag
Person30_14,rainbowPens
Person30_14,rubiksCube
Person30_14,eyeball
Person30_14,carabiner
Person30_15,rainbowPens
Person30_15,rubiksCube
Person30_15,metalKey
Person30_16,rainbowPens
Person30_16,rubiksCube
Person30_16,metalKey
Person30_16,eyeball
Person30_16,giftBag
Person30_16,silverStraw
Person30_17,rainbowPens
Person30_17,rubiksCube
Person30_17,metalKey
Person30_17,carabiner
Person30_17,eyeball
Person30_18,rainbowPens
Person30_18,rubiksCube
Person30_18,eyeball
Person30_18,metalKey
Person30_18,giftBag
Person30_18,silverStraw
Person30_18,carabiner
