Image,object
Person6_1,rubiksCube
Person6_1,lavenderDie
Person6_1,miniCards
Person6_2,none
Person6_3,none
Person6_4,redBow
Person6_5,none
Person6_6,foamDart
Person6_7,foamDart
Person6_8,yellowBag
Person6_9,yellowBag
Person6_10,yellowBag
Person6_11,redBow
Person6_12,none
Person6_13,none
Person6_14,pinkCandle
Person6_14,redBow
Person6_15,yellowBalloon
Person6_16,yellowBalloon
Person6_17,pinkCandle
Person6_18,yellowBalloon
Person6_19,pinkCandle
Person6_20,pinkCandle
Person6_21,pinkCandle
Person6_21,yellowBalloon
Person6_21,foamDart
Person6_21,lavenderDie
Person6_21,yellowBag
Person6_21,redBow
Person6_22,silverStraw
Person6_23,lavenderDie
Person6_24,redBow
Person6_25,pinkCandle
Person6_26,pinkCandle
Person6_27,lavenderDie
Person6_28,lavenderDie
Person6_29,lavenderDie
Person6_30,silverStraw
