Image,object
Person4_1,plaidPencil
Person4_2,rubiksCube
Person4_2,plaidPencil
Person4_3,plaidPencil
Person4_4,hairClip
Person4_5,hairClip
Person4_6,cupcakePaper
Person4_7,cupcakePaper
Person4_8,yellowBalloon
Person4_9,yellowBalloon
Person4_10,miniCards
Person4_11,miniCards
Person4_12,canadaPencil
Person4_13,canadaPencil
Person4_14,rubiksCube
Person4_14,miniCards
Person4_15,canadaPencil
Person4_16,cupcakePaper
Person4_17,yellowBalloon
Person4_18,miniCards
Person4_18,rubiksCube
Person4_18,lavenderDie
Person4_19,canadaPencil
Person4_19,plaidPencil
Person4_19,cupcakePaper
Person4_19,hairClip
Person4_19,miniCards
Person4_19,rubiksCube
Person4_19,yellowBalloon
Person4_20,plaidPencil
Person4_20,canadaPencil
Person4_21,plaidPencil
Person4_21,canadaPencil
Person4_22,plaidPencil
Person4_23,canadaPencil
Person4_24,plaidPencil
Person4_24,canadaPencil
Person4_25,plaidPencil
