Image,object
Person29_1,redBow
Person29_2,redBow
Person29_3,redBow
Person29_4,carabiner
Person29_5,lavenderDie
Person29_6,glassBead
Person29_7,redBow
Person29_7,carabiner
Person29_7,trophy
Person29_7,redWhistle
Person29_8,plaidPencil
Person29_9,plaidPencil
Person29_10,trophy
Person29_11,trophy
Person29_11,lavenderDie
Person29_12,redBow
Person29_12,redWhistle
Person29_12,lavenderDie
Person29_12,glassBead
Person29_12,plaidPencil
Person29_12,trophy
Person29_12,carabiner
Person29_13,trophy
Person29_13,glassBead
Person29_14,redWhistle
