Image,object
Person33_1,foamDart
Person33_1,brownDie
Person33_2,giftBag
Person33_3,redWhistle
Person33_4,brownDie
Person33_5,redWhistle
Person33_6,foamDart
Person33_7,giftBag
Person33_8,foamDart
Person33_8,redWhistle
Person33_8,brownDie
Person33_9,brownDie
Person33_10,brownDie
Person33_10,turtle
Person33_11,foamDart
Person33_12,foamDart
Person33_12,hairRoller
Person33_13,foamDart
Person33_13,hairRoller
Person33_14,brownDie
Person33_15,brownDie
Person33_16,turtle
Person33_17,giftBag
Person33_18,turtle
Person33_19,redWhistle
Person33_20,foamDart
Person33_21,redWhistle
Person33_22,giftBag
Person33_23,foamDart
Person33_24,giftBag
Person33_24,foamDart
Person33_24,turtle
Person33_25,redWhistle
Person33_26,redWhistle
Person33_27,redWhistle
Person33_28,pinkEraser
Person33_29,turtle
Person33_30,turtle
Person33_31,turtle
Person33_31,hairRoller
Person33_32,turtle
Person33_32,hairRoller
Person33_33,turtle
Person33_33,brownDie
Person33_34,turtle
Person33_34,brownDie
Person33_34,redWhistle
Person33_35,turtle
Person33_36,turtle
Person33_36,hairRoller
Person33_37,foamDart
Person33_38,turtle
Person33_39,turtle
Person33_40,foamDart
Person33_40,giftBag
Person33_41,foamDart
Person33_42,turtle
Person33_43,turtle
Person33_43,giftBag
Person33_44,turtle
Person33_45,turtle
Person33_45,giftBag
Person33_46,turtle
Person33_47,turtle
Person33_48,turtle
Person33_48,hairRoller
Person33_49,giftBag
Person33_50,turtle
Person33_51,foamDart
Person33_51,giftBag
Person33_52,turtle
Person33_53,brownDie
Person33_53,giftBag
Person33_54,turtle
Person33_54,hairRoller
Person33_55,turtle
Person33_56,turtle
Person33_56,foamDart
Person33_57,foamDart
Person33_58,turtle
Person33_58,brownDie
Person33_59,foamDart
Person33_60,turtle
Person33_61,brownDie
