"x","y","Width","Height","Score","Label"
"14","1674","1197","1361",0.25857,"birdCall"
"14","1553","914","938",0.41272,"cloudSign"
"1801","1140","1264","978",0.3709,"eyeball"
"1291","605","1734","1593",0.32897,"metalKey"
"457","11","1667","1674",0.39464,"partyFavor"
"269","928","350","948",0.37701,"pinkCandle"
"820","1039","1546","1996",0.53728,"sign"
"14","746","1116","1775",0.26689,"trophy"
"1694","1291","1479","646",0.32861,"blueSunglasses"
"1882","888","1129","1059",0.31232,"hairClip"
