"x","y","Width","Height","Score","Label"
"2245","1082","1546","885",0.30735,"birdCall"
"2366","983","1291","1059",0.32228,"cloudSign"
"2809","1399","1049","318",0.28417,"eyeball"
"2594","1134","229","794",0.37173,"pinkCandle"
"1076","8","1573","1104",0.55032,"pumpkinNotes"
"2688","333","1210","749",0.28852,"redWhistle"
"928","8","1896","1240",0.43684,"trophy"
"1170","8","1412","1180",0.67832,"yellowBalloon"
"2164","1376","1156","326",0.32696,"blueSunglasses"
"2245","968","995","832",0.2678,"hairClip"
"310","945","1949","1331",0.50154,"yellowBag"
