"x","y","Width","Height","Score","Label"
"928","938","1909","1165",0.52332,"birdCall"
"1452","1172","1398","1036",0.52325,"cloudSign"
"1318","1112","1116","1165",0.29867,"cupcakePaper"
"1936","484","1008","492",0.63039,"eyeball"
"1721","1248","323","598",0.273,"pinkCandle"
"1022","8","1707","1187",0.29154,"pumpkinNotes"
"995","1392","1734","885",0.45167,"redWhistle"
"1089","515","1560","394",0.35101,"blueSunglasses"
"1963","333","955","809",0.29296,"hairClip"
"2191","537","444","386",0.45794,"lavenderDie"
"1358","159","1008","817",0.29913,"stickerBox"
