"x","y","Width","Height","Score","Label"
"726","38","2326","1974",0.51787,"canadaPencil"
"2178","318","1076","507",0.3784,"eyeball"
"820","893","1546","961",0.34359,"metalKey"
"444","499","2258","1429",0.33123,"noisemaker"
"2554","333","363","802",0.37787,"pinkCandle"
"1519","462","1331","1800",0.4683,"sign"
"955","99","2971","1550",0.35261,"silverStraw"
"1613","326","2245","1437",0.25734,"vancouverCards"
"834","1218","1492","295",0.3028,"blueSunglasses"
"3132","401","350","310",0.46604,"lavenderDie"
