"x","y","Width","Height","Score","Label"
"2554","1049","1479","1533",0.45133,"birdCall"
"1546","605","1224","1109",0.31538,"cloudSign"
"686","1250","1788","1785",0.32465,"cupcakePaper"
"2043","666","780","666",0.4596,"eyeball"
"1694","444","1506","1492",0.42981,"metalKey"
"1586","484","1210","1402",0.30381,"pumpkinNotes"
"2635","1392","1371","1271",0.74119,"redWhistle"
"1976","898","982","2137",0.40034,"sign"
"2016","1129","1452","504",0.47317,"blueSunglasses"
"1264","615","1264","1180",0.34428,"hairClip"
