"x","y","Width","Height","Score","Label"
"888","726","1963","1190",0.38448,"birdCall"
"1479","7","1963","1065",0.25136,"canadaPencil"
"417","314","1156","889",0.46061,"cloudSign"
"1143","412","1479","1007",0.29641,"cupcakePaper"
"1479","1255","1344","458",0.34396,"eyeball"
"498","7","1600","1065",0.36451,"partyFavor"
"874","419","269","706",0.2656,"pinkCandle"
"457","314","2245","1190",0.50765,"pumpkinNotes"
"888","7","269","1353",0.44635,"sign"
"538","118","2111","1588",0.27285,"trophy"
"1022","321","1721","602",0.40599,"blueSunglasses"
"484","288","1062","713",0.29662,"hairClip"
"780","471","1613","1451",0.25934,"stickerBox"
