"x","y","Width","Height","Score","Label"
"229","438","1560","1209",0.44627,"birdCall"
"363","641","1264","791",0.40878,"cloudSign"
"1277","1085","1237","497",0.33211,"eyeball"
"1062","562","471","706",0.37234,"pinkCandle"
"780","765","1613","1203",0.25857,"pumpkinNotes"
"3092","360","955","1608",0.4709,"sign"
"767","229","1089","1379",0.3189,"trophy"
"646","830","1331","432",0.34443,"blueSunglasses"
"404","660","1224","811",0.66194,"hairClip"
"995","7","2877","1340",0.25382,"yellowBag"
