"x","y","Width","Height","Score","Label"
"928","196","1896","1111",0.38461,"birdCall"
"1049","7","1640","994",0.45965,"cloudSign"
"1116","190","1573","850",0.28084,"cupcakePaper"
"1828","726","646","340",0.42989,"eyeball"
"1385","504","1546","811",0.4173,"metalKey"
"1264","66","1183","876",0.39908,"partyFavor"
"1654","210","431","562",0.43665,"pinkCandle"
"982","412","1775","1000",0.25398,"pumpkinNotes"
"1492","7","753","1320",0.34146,"sign"
"1465","660","1412","504",0.5989,"blueSunglasses"
"1304","523","1116","791",0.53503,"hairClip"
"2809","1588","431","321",0.37051,"lavenderDie"
"632","713","3078","1255",0.41094,"yellowBag"
