"x","y","Width","Height","Score","Label"
"1103","144","1560","1778",0.35777,"canadaPencil"
"1318","20","1089","909",0.27199,"cloudSign"
"1439","125","2030","1274",0.28634,"cupcakePaper"
"1936","7","2111","1516",0.48801,"pumpkinNotes"
"995","7","592","1157",0.30171,"sign"
"1344","157","2285","1203",0.25708,"yellowBalloon"
"2326","830","1398","425",0.36628,"blueSunglasses"
"14","14","982","700",0.39438,"hairClip"
"2554","425","1492","1268",0.46354,"stickerBox"
"1492","66","1909","1118",0.35735,"yellowBag"
