"x","y","Width","Height","Score","Label"
"1694","1200","1519","1694",0.30662,"birdCall"
"1573","1099","1156","1452",0.41127,"cloudSign"
"1586","1341","1707","1422",0.40048,"metalKey"
"1680","1392","1506","1371",0.43557,"partyFavor"
"1801","1230","753","1220",0.39998,"pinkCandle"
"2151","11","1896","1835",0.44576,"pumpkinNotes"
"1949","1029","1586","2006",0.49327,"sign"
"1425","1744","2057","1029",0.37457,"blueSunglasses"
"1586","1281","1156","1140",0.32605,"hairClip"
"2272","11","1775","2218",0.25736,"yellowBag"
