"x","y","Width","Height","Score","Label"
"2218","1291","1022","1039",0.47949,"cloudSign"
"2178","1724","1143","646",0.37554,"eyeball"
"1882","706","1694","1442",0.26981,"partyFavor"
"2581","464","310","1049",0.31012,"pinkCandle"
"2003","1472","1425","1119",0.32809,"redWhistle"
"457","767","1089","2268",0.32521,"sign"
"1936","1049","1600","1986",0.3675,"trophy"
"457","938","1129","464",0.38905,"blueSunglasses"
"2178","1502","1089","1140",0.69456,"hairClip"
"2245","1341","982","1432",0.33419,"stickerBox"
