"x","y","Width","Height","Score","Label"
"659","11","1277","1180",0.40515,"eyeball"
"1627","232","1640","1059",0.44349,"metalKey"
"3119","263","390","1422",0.46643,"pinkCandle"
"632","21","1896","1472",0.27235,"pumpkinNotes"
"2608","11","834","2490",0.30103,"sign"
"1170","605","820","283",0.26775,"blueSunglasses"
"14","1311","888","1079",0.59921,"hairClip"
"189","1633","471","384",0.49363,"lavenderDie"
"1089","11","1035","1573",0.40565,"stickerBox"
"619","1341","2500","1694",0.27743,"yellowBag"
