"x","y","Width","Height","Score","Label"
"1506","646","1922","1946",0.2891,"birdCall"
"1358","1271","982","1089",0.2922,"cloudSign"
"1640","565","1680","1220",0.25637,"cupcakePaper"
"363","1119","713","988",0.40006,"eyeball"
"1129","363","2675","2450",0.9118,"paperPlate"
"1573","81","2312","2631",0.56877,"pumpkinNotes"
"1318","1180","565","1855",0.25734,"sign"
"1250","656","2406","1875",0.32636,"yellowBalloon"
"2097","1301","1277","625",0.368,"blueSunglasses"
"1667","565","1573","2107",0.51363,"stickerBox"
"14","11","1855","1986",0.2882,"yellowBag"
