"x","y","Width","Height","Score","Label"
"1573","333","1734","1704",0.33995,"birdCall"
"2218","11","1828","2309",0.34498,"canadaPencil"
"1398","888","1533","1432",0.28849,"cloudSign"
"14","666","1439","1492",0.27497,"cupcakePaper"
"2702","1764","1170","565",0.25338,"eyeball"
"216","81","1586","2188",0.49157,"pumpkinNotes"
"1143","746","2568","2168",0.40507,"yellowBalloon"
"1828","1674","1224","736",0.33693,"blueSunglasses"
"1775","21","1371","1906",0.40382,"stickerBox"
"14","51","1922","2248",0.37936,"yellowBag"
