"x","y","Width","Height","Score","Label"
"1775","1049","1358","1573",0.30273,"birdCall"
"847","11","2111","1472",0.26813,"canadaPencil"
"1519","11","1250","908",0.25896,"cloudSign"
"1197","817","780","726",0.41551,"eyeball"
"1197","11","1922","1230",0.56339,"metalKey"
"3455","1744","283","1059",0.2937,"pinkCandle"
"68","232","2406","1875",0.36593,"pumpkinNotes"
"2097","615","726","2420",0.53768,"sign"
"672","1119","1250","555",0.43044,"blueSunglasses"
"1062","1916","1049","1119",0.46664,"hairClip"
"14","877","1896","1916",0.48673,"yellowBag"
