"x","y","Width","Height","Score","Label"
"1106","358","1884","1993",0.2551,"birdCall"
"1832","795","1089","1060",0.42383,"cloudSign"
"1141","611","1020","1026",0.27935,"eyeball"
"778","553","294","1118",0.30163,"pinkCandle"
"1141","1210","3232","2258",0.31955,"pumpkinNotes"
"1642","438","778","3030",0.49298,"sign"
"1417","1187","3456","2281",0.43854,"yellowBalloon"
"1141","968","1798","761",0.51062,"blueSunglasses"
"1331","749","1435","1245",0.46908,"hairClip"
"1746","991","588","634",0.26327,"lavenderDie"
"1487","1026","3318","2443",0.62506,"yellowBag"
