"x","y","Width","Height","Score","Label"
"2594","777","1452","1654",0.4811,"birdCall"
"578","353","874","1160",0.33546,"cloudSign"
"3240","1059","699","696",0.46657,"eyeball"
"2554","837","1492","1129",0.37716,"metalKey"
"525","716","390","928",0.32882,"pinkCandle"
"2097","595","1855","2016",0.27255,"pumpkinNotes"
"377","414","1197","1492",0.35207,"redWhistle"
"2796","1371","1022","464",0.35623,"blueSunglasses"
"242","595","1008","1230",0.37455,"hairClip"
"726","625","552","716",0.55136,"stickerBox"
