"x","y","Width","Height","Score","Label"
"2258","525","1533","1734",0.27867,"birdCall"
"14","978","1398","1250",0.44126,"cloudSign"
"2218","888","1035","1079",0.40722,"eyeball"
"269","787","1479","1230",0.47771,"metalKey"
"175","424","3374","1916",0.50869,"noisemaker"
"807","898","390","998",0.30791,"pinkCandle"
"2137","948","1788","1291",0.44776,"redWhistle"
"2447","1422","1143","373",0.47409,"blueSunglasses"
"2594","1099","901","1039",0.40949,"hairClip"
"2621","877","861","1079",0.26251,"stickerBox"
