"x","y","Width","Height","Score","Label"
"955","1835","1842","1200",0.33116,"birdCall"
"1089","2057","982","807",0.43103,"cloudSign"
"1022","2087","1156","797",0.3727,"eyeball"
"1439","565","1425","1240",0.49202,"metalKey"
"995","1775","1748","1260",0.31493,"partyFavor"
"1533","1059","686","1129",0.40656,"pinkCandle"
"1546","444","1250","2319",0.48377,"sign"
"1197","1845","1344","827",0.35555,"blueSunglasses"
"1963","494","928","988",0.67681,"hairClip"
"1224","1885","767","1150",0.39057,"stickerBox"
