"x","y","Width","Height","Score","Label"
"1143","85","1479","784",0.51344,"birdCall"
"2258","445","1546","915",0.39744,"cloudSign"
"1734","27","793","654",0.30325,"eyeball"
"2756","745","525","608",0.36334,"pinkCandle"
"914","85","1896","804",0.3354,"pumpkinNotes"
"1103","1013","1492","608",0.44297,"redWhistle"
"2460","392","1129","1575",0.41109,"sign"
"1600","92","1116","504",0.41435,"blueSunglasses"
"2568","575","928","686",0.46329,"hairClip"
"2796","739","471","327",0.29099,"lavenderDie"
"2339","713","1707","1216",0.36078,"yellowBag"
