"x","y","Width","Height","Score","Label"
"14","451","1519","902",0.3589,"birdCall"
"1667","824","955","667",0.25938,"cloudSign"
"1627","1085","1103","458",0.53599,"eyeball"
"14","438","1479","1209",0.33999,"pumpkinNotes"
"1680","824","1492","1000",0.2642,"redWhistle"
"14","7","1022","1033",0.38008,"sign"
"14","504","1640","1386",0.33338,"trophy"
"1721","974","901","739",0.37989,"hairClip"
"1842","1105","619","438",0.60702,"lavenderDie"
"1586","882","1156","909",0.58974,"stickerBox"
"847","7","2043","1340",0.25139,"yellowBag"
