"x","y","Width","Height","Score","Label"
"1896","515","1761","2107",0.26561,"canadaPencil"
"1506","535","1304","1704",0.33202,"cloudSign"
"793","1039","1008","767",0.38037,"eyeball"
"1896","696","1667","1402",0.46477,"metalKey"
"1667","1573","377","938",0.27002,"pinkCandle"
"1331","726","1640","2309",0.47981,"sign"
"1922","807","2124","1160",0.39347,"silverStraw"
"484","1351","1627","515",0.34643,"blueSunglasses"
"861","938","901","948",0.38008,"stickerBox"
"1896","1089","2151","1946",0.3287,"yellowBag"
